pre,2W,4W,6W,8W,10W,12W,label
16.748,0.52,0,0,,,,1
10.413,0.591,0.052,0.008,,,,1
4.799,0.19,0.008,,,0,,1
5.9,0.301,0.039,0.002,,0.001,,1
14.649,0.657,,0,,,,1
9.77,,0.33,0.06,,0.02,,1
12,0.447,0.043,0.005,,,,1
11.61,,,0.001,,,,1
7.025,0.303,0.007,0.001,,0.001,,1
6,0.379,,0.01,,,,1
29.054,1.084,,0.006,,,,1
15,0.001,,0.001,,,,1
8.432,0.239,0.026,0.004,,0.002,,1
4.59,0.024,0,0,,,,1
5.58,,0.049,,0.001,,,1
12.1,0.463,,,,0.004,,1
11.181,0.08,0.001,,0.001,,,1
9.8,0.527,0.04,0.008,,,,1
7.91,0.56,0.03,,0.01,,,1
14.37,0.484,0.041,0.006,,0.001,,1
6.1,0.308,0.03,0,,,,1
3.65,0.058,0.001,,,,,1
6.444,0.02,0.001,,0.003,,,1
28.424,0.296,0.042,0.015,,,,1
14.121,0.435,,0.006,,,,1
13.687,0.406,0.029,0.006,,,,1
38.453,0.844,0.001,0,,,,1
29.595,1.443,0.087,,,0.004,,1
4.4,0.226,0.028,,0.01,,,1
33.148,2.02,0.128,,0.004,,,1
6.246,0.273,0.032,0.009,,,,1
9.02,0.244,,0.01,,,,1
9.971,0.66,0.12,0.04,,,,1
15.7,0.55,,0.01,,,,1
6,0.358,0.04,0.01,,,,1
12.762,0.028,0.026,0.013,,,,1
14.224,0.193,0.016,,,,,1
9.1,0.259,0.01,0.01,,,,1
14.343,0.302,0.039,0.01,0.004,,,1
20,0.612,0.062,0.012,,,0.003,1
12.65,0.894,0.07,0.01,,,,1
12.156,0.252,0.015,0,,,,1
8.526,0.243,0.022,0.004,,,,1
44.14,0.65,0.015,0.003,,,,1
8.4,0.293,0.025,0.002,,,,1
16,0.698,0.07,0.03,,,,1
12.1,0.448,0.03,,0,,,1
85.92,0.538,0.049,0.008,,,,1
13.366,0.255,0.016,0.001,,,,1
8.573,0.141,0.01,0.002,,0.001,,1
12,0.193,0.023,0.01,,,,1
77.705,1.474,0.107,0.007,,,,1
29.24,0.931,0.11,0.02,,,,1
10.695,0.25,0.018,0.004,,,,1
7.196,0.09,,0.01,0.003,,,1
11.8,0.107,0.019,0.007,,,,1
16.76,0.382,0.062,0.018,,,,1
7.28,0.158,0.015,0.002,,,,1
13.37,0.674,0.04,0,,,,1
34,0.204,0.012,0.001,,,,1
10.79,,0.014,0.003,,,,1
64,2,0.11,,0.02,,,1
23.85,0.921,0.075,0.004,,,,1
14.11,0.576,0.091,0.036,,,,1
20.32,0.529,0.043,0.007,,,,1
7.82,0.26,0,0,,,,1
14.82,0.21,0,0,,,,1
18.542,1.151,0.14,0.032,,,,1
7.11,0.185,0.014,0.002,,,,1
10.515,0.581,0.072,0.008,,,,1
8.16,0.384,0.03,0.006,,,0,1
21,0.64,0.06,0.11,,,,1
15.3,,0.05,0.001,,,0.003,1
23,0.75,0.11,0.03,,,,1
14.205,,,0.015,,0.012,,1
